,date,team,opponent,moneyLine,opponentMoneyLine,spread,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home,outcome
49,2009-11-03,Indiana,Denver,190.0,-230.0,5.0,0.4473684210526316,0.34146341463414637,0.8235294117647058,39.5,19.5,2.5,6.5,19.5,28.5,96.0,0.0,0.502127659574468,0.4146341463414634,0.7844827586206896,36.333333333333336,23.0,6.666666666666667,5.0,11.0,26.0,114.66666666666667,1.0,1,0
50,2009-11-03,Orlando,Detroit,-400.0,320.0,-8.5,0.4957983193277311,0.47560975609756095,0.7831325301204819,40.666666666666664,24.333333333333332,5.666666666666667,5.333333333333333,12.666666666666666,20.666666666666668,113.33333333333333,1.0,0.4413145539906103,0.30612244897959184,0.6931818181818182,39.666666666666664,16.333333333333332,5.666666666666667,4.0,14.666666666666666,27.333333333333332,88.0,0.3333333333333333,0,0
51,2009-11-03,Denver,Indiana,-230.0,190.0,-5.0,0.502127659574468,0.4146341463414634,0.7844827586206896,36.333333333333336,23.0,6.666666666666667,5.0,11.0,26.0,114.66666666666667,1.0,0.4473684210526316,0.34146341463414637,0.8235294117647058,39.5,19.5,2.5,6.5,19.5,28.5,96.0,0.0,0,1
52,2009-11-03,Oklahoma City,LA Lakers,250.0,-300.0,7.0,0.43243243243243246,0.3333333333333333,0.7560975609756098,41.666666666666664,16.333333333333332,5.0,6.0,13.0,24.0,89.0,0.6666666666666666,0.44664031620553357,0.2909090909090909,0.7236842105263158,43.0,20.666666666666668,11.333333333333334,3.6666666666666665,16.666666666666668,21.333333333333332,99.0,0.6666666666666666,1,0
53,2009-11-03,Chicago,Milwaukee,-450.0,350.0,-8.5,0.41338582677165353,0.16279069767441862,0.7222222222222222,42.666666666666664,17.333333333333332,6.333333333333333,5.666666666666667,12.333333333333334,21.333333333333332,89.66666666666667,0.3333333333333333,0.4049079754601227,0.35714285714285715,0.6730769230769231,44.5,17.5,8.5,3.0,17.0,28.0,91.0,0.5,1,1
54,2009-11-03,LA Lakers,Oklahoma City,-300.0,250.0,-7.0,0.44664031620553357,0.2909090909090909,0.7236842105263158,43.0,20.666666666666668,11.333333333333334,3.6666666666666665,16.666666666666668,21.333333333333332,99.0,0.6666666666666666,0.43243243243243246,0.3333333333333333,0.7560975609756098,41.666666666666664,16.333333333333332,5.0,6.0,13.0,24.0,89.0,0.6666666666666666,0,1
55,2009-11-03,Detroit,Orlando,320.0,-400.0,8.5,0.4413145539906103,0.30612244897959184,0.6931818181818182,39.666666666666664,16.333333333333332,5.666666666666667,4.0,14.666666666666666,27.333333333333332,88.0,0.3333333333333333,0.4957983193277311,0.47560975609756095,0.7831325301204819,40.666666666666664,24.333333333333332,5.666666666666667,5.333333333333333,12.666666666666666,20.666666666666668,113.33333333333333,1.0,1,1
56,2009-11-03,Boston,Philadelphia,-330.0,270.0,-7.0,0.5,0.4367816091954023,0.7951807228915663,40.0,27.0,8.0,5.75,14.25,22.0,100.5,1.0,0.5258620689655172,0.36363636363636365,0.8113207547169812,42.666666666666664,19.0,9.666666666666666,5.333333333333333,16.0,23.0,115.33333333333333,0.6666666666666666,0,1
57,2009-11-03,Atlanta,Portland,250.0,-300.0,7.0,0.4645669291338583,0.34545454545454546,0.8426966292134831,40.666666666666664,23.0,9.666666666666666,5.333333333333333,13.666666666666666,23.333333333333332,110.0,0.6666666666666666,0.4219269102990033,0.3670886075949367,0.8151260504201681,43.0,18.5,6.75,7.25,15.5,26.75,95.0,0.5,0,1
58,2009-11-03,Dallas,Utah,-260.0,220.0,-6.5,0.4092827004219409,0.2553191489361702,0.8089887640449438,44.0,20.0,7.666666666666667,6.666666666666667,12.333333333333334,19.0,92.66666666666667,0.6666666666666666,0.47107438016528924,0.36666666666666664,0.8295454545454546,41.666666666666664,23.333333333333332,4.666666666666667,5.333333333333333,14.666666666666666,23.666666666666668,104.0,0.3333333333333333,1,1
59,2009-11-03,Cleveland,Washington,-800.0,600.0,-11.5,0.44816053511705684,0.4657534246575342,0.6990291262135923,39.0,20.5,7.75,6.25,13.75,22.5,93.5,0.5,0.5062240663900415,0.45,0.7536231884057971,40.666666666666664,22.0,5.666666666666667,3.6666666666666665,12.0,24.666666666666668,104.66666666666667,0.6666666666666666,1,1
60,2009-11-04,Sacramento,Atlanta,190.0,-240.0,5.5,0.4269005847953216,0.36585365853658536,0.6837606837606838,41.5,19.0,7.5,5.25,13.25,22.75,100.5,0.25,0.46407185628742514,0.34285714285714286,0.8378378378378378,42.0,22.5,8.25,5.75,13.0,21.25,106.75,0.75,1,0
61,2009-11-04,Minnesota,Boston,450.0,-650.0,12.5,0.4175824175824176,0.2894736842105263,0.7582417582417582,45.75,19.25,10.5,3.0,12.25,21.75,96.0,0.25,0.5135135135135135,0.48598130841121495,0.7731958762886598,39.8,27.0,8.4,5.4,14.8,21.8,101.4,1.0,1,0
62,2009-11-04,Toronto,Detroit,-370.0,305.0,-7.5,0.4767932489451477,0.4,0.76,40.666666666666664,20.666666666666668,4.333333333333333,5.666666666666667,13.666666666666666,29.0,108.0,0.3333333333333333,0.4245614035087719,0.2727272727272727,0.7301587301587301,40.75,14.25,6.0,4.0,13.25,24.75,87.25,0.5,1,1
63,2009-11-04,Memphis,Golden State,190.0,-240.0,6.0,0.4791666666666667,0.375,0.7213114754098361,47.5,19.5,6.75,5.0,18.0,27.0,107.0,0.25,0.45977011494252873,0.4166666666666667,0.7450980392156863,39.5,20.5,7.0,5.5,19.0,26.0,104.0,0.0,0,0
64,2009-11-04,LA Lakers,Houston,-130.0,110.0,-2.0,0.46319018404907975,0.3181818181818182,0.7211538461538461,41.25,20.25,12.5,3.25,18.75,22.75,99.5,0.75,0.46060606060606063,0.4482758620689655,0.7524752475247525,38.0,24.0,10.25,3.5,15.25,24.75,104.75,0.75,0,1
65,2009-11-04,New York,Indiana,-215.0,175.0,-5.0,0.42592592592592593,0.28776978417266186,0.8241758241758241,41.0,22.5,7.0,4.5,13.25,24.5,109.25,0.25,0.4279835390946502,0.2698412698412698,0.8,41.0,17.333333333333332,5.666666666666667,7.666666666666667,17.666666666666668,28.333333333333332,95.0,0.0,1,0
66,2009-11-04,Houston,LA Lakers,110.0,-130.0,2.0,0.46060606060606063,0.4482758620689655,0.7524752475247525,38.0,24.0,10.25,3.5,15.25,24.75,104.75,0.75,0.46319018404907975,0.3181818181818182,0.7211538461538461,41.25,20.25,12.5,3.25,18.75,22.75,99.5,0.75,1,0
67,2009-11-04,Golden State,Memphis,-240.0,190.0,-6.0,0.45977011494252873,0.4166666666666667,0.7450980392156863,39.5,20.5,7.0,5.5,19.0,26.0,104.0,0.0,0.4791666666666667,0.375,0.7213114754098361,47.5,19.5,6.75,5.0,18.0,27.0,107.0,0.25,1,1
68,2009-11-04,Washington,Miami,-135.0,115.0,-2.0,0.4806451612903226,0.4074074074074074,0.7636363636363637,42.5,19.5,5.25,4.0,12.25,25.25,101.0,0.5,0.4713375796178344,0.3442622950819672,0.8095238095238095,42.5,18.5,6.75,4.0,14.5,20.25,100.5,0.75,1,0
69,2009-11-04,Boston,Minnesota,-650.0,450.0,-12.5,0.5135135135135135,0.48598130841121495,0.7731958762886598,39.8,27.0,8.4,5.4,14.8,21.8,101.4,1.0,0.4175824175824176,0.2894736842105263,0.7582417582417582,45.75,19.25,10.5,3.0,12.25,21.75,96.0,0.25,0,1
70,2009-11-04,Indiana,New York,175.0,-215.0,5.0,0.4279835390946502,0.2698412698412698,0.8,41.0,17.333333333333332,5.666666666666667,7.666666666666667,17.666666666666668,28.333333333333332,95.0,0.0,0.42592592592592593,0.28776978417266186,0.8241758241758241,41.0,22.5,7.0,4.5,13.25,24.5,109.25,0.25,0,1
71,2009-11-04,Atlanta,Sacramento,-240.0,190.0,-5.5,0.46407185628742514,0.34285714285714286,0.8378378378378378,42.0,22.5,8.25,5.75,13.0,21.25,106.75,0.75,0.4269005847953216,0.36585365853658536,0.6837606837606838,41.5,19.0,7.5,5.25,13.25,22.75,100.5,0.25,0,1
72,2009-11-04,Detroit,Toronto,305.0,-370.0,7.5,0.4245614035087719,0.2727272727272727,0.7301587301587301,40.75,14.25,6.0,4.0,13.25,24.75,87.25,0.5,0.4767932489451477,0.4,0.76,40.666666666666664,20.666666666666668,4.333333333333333,5.666666666666667,13.666666666666666,29.0,108.0,0.3333333333333333,0,0
73,2009-11-04,Miami,Washington,115.0,-135.0,2.0,0.4713375796178344,0.3442622950819672,0.8095238095238095,42.5,18.5,6.75,4.0,14.5,20.25,100.5,0.75,0.4806451612903226,0.4074074074074074,0.7636363636363637,42.5,19.5,5.25,4.0,12.25,25.25,101.0,0.5,0,1
74,2009-11-05,Cleveland,Chicago,-900.0,650.0,-11.5,0.44155844155844154,0.45454545454545453,0.7,39.6,21.4,7.8,5.6,12.4,23.0,95.2,0.6,0.40853658536585363,0.2222222222222222,0.6990291262135923,45.25,17.5,6.5,7.25,13.75,20.5,88.0,0.5,1,0
75,2009-11-05,Chicago,Cleveland,650.0,-900.0,11.5,0.40853658536585363,0.2222222222222222,0.6990291262135923,45.25,17.5,6.5,7.25,13.75,20.5,88.0,0.5,0.44155844155844154,0.45454545454545453,0.7,39.6,21.4,7.8,5.6,12.4,23.0,95.2,0.6,0,1
76,2009-11-05,Utah,San Antonio,-109.0,-101.0,-1.0,0.4567901234567901,0.36585365853658536,0.7962962962962963,40.5,22.75,6.0,5.75,14.5,23.75,99.25,0.25,0.5084033613445378,0.3442622950819672,0.7164179104477612,40.666666666666664,21.333333333333332,6.333333333333333,4.0,13.333333333333334,22.666666666666668,103.66666666666667,0.6666666666666666,1,1
77,2009-11-05,San Antonio,Utah,-101.0,-109.0,1.0,0.5084033613445378,0.3442622950819672,0.7164179104477612,40.666666666666664,21.333333333333332,6.333333333333333,4.0,13.333333333333334,22.666666666666668,103.66666666666667,0.6666666666666666,0.4567901234567901,0.36585365853658536,0.7962962962962963,40.5,22.75,6.0,5.75,14.5,23.75,99.25,0.25,0,0
78,2009-11-06,New York,Cleveland,320.0,-400.0,8.0,0.4202586206896552,0.28484848484848485,0.8165137614678899,42.2,22.0,7.2,5.0,14.2,24.2,105.2,0.2,0.4356223175965665,0.4444444444444444,0.6866666666666666,41.166666666666664,21.333333333333332,7.166666666666667,6.0,12.333333333333334,22.0,93.5,0.5,1,0
79,2009-11-06,Miami,Denver,100.0,-110.0,1.0,0.4740932642487047,0.38666666666666666,0.8064516129032258,41.6,18.6,6.0,4.2,15.0,21.2,99.0,0.8,0.4925,0.47297297297297297,0.7872340425531915,42.2,22.4,8.0,5.4,13.0,23.6,115.4,1.0,1,1
80,2009-11-06,Orlando,Detroit,-1180.0,980.0,-13.0,0.4765432098765432,0.4357142857142857,0.7723577235772358,42.2,23.4,6.2,5.0,13.6,21.8,108.4,0.8,0.42934782608695654,0.3194444444444444,0.7218543046357616,41.6,14.8,5.4,4.2,12.8,25.8,89.6,0.4,1,1
